# wavelength,transmittance
7.887129999999999654e+02,7.125510492169999655e-01
7.897119999999999891e+02,7.131930509666899454e-01
7.907110000000000127e+02,7.122474403796900111e-01
7.917110000000000127e+02,7.109918964470299807e-01
7.927100000000000364e+02,7.100273362666900123e-01
7.937100000000000364e+02,7.086372104021499974e-01
7.947090000000000600e+02,7.071455855768400411e-01
7.957079999999999700e+02,7.050639627197099468e-01
7.967079999999999700e+02,7.042493175251499649e-01
7.977069999999999936e+02,7.023048621297099947e-01
7.987069999999999936e+02,7.012614786034799819e-01
7.997060000000000173e+02,7.009170591221399738e-01
8.007050000000000409e+02,6.979238212599400137e-01
8.017050000000000409e+02,6.970925209925300514e-01
8.027039999999999509e+02,6.964346960492500127e-01
8.037039999999999509e+02,6.931031595800000167e-01
8.047029999999999745e+02,6.917871780108100221e-01
8.057029999999999745e+02,6.912779842235799999e-01
8.067019999999999982e+02,6.900267032142900492e-01
8.077010000000000218e+02,6.882244731268000182e-01
8.087010000000000218e+02,6.870896762242000300e-01
8.097000000000000455e+02,6.839128511515000231e-01
8.107000000000000455e+02,6.831065912932300366e-01
8.116989999999999554e+02,6.824191162953699985e-01
8.126979999999999791e+02,6.807990538396100355e-01
8.136979999999999791e+02,6.790169030970899522e-01
8.146970000000000027e+02,6.766991289580399638e-01
8.156970000000000027e+02,6.753340591946700444e-01
8.166960000000000264e+02,6.732786700599100449e-01
8.176949999999999363e+02,6.697695265953500510e-01
8.186949999999999363e+02,6.690290683670500060e-01
8.196940000000000737e+02,6.666605589870799875e-01
8.206940000000000737e+02,6.650286646077500086e-01
8.216929999999999836e+02,6.626335554598800082e-01
8.226929999999999836e+02,6.609933769256800540e-01
8.236920000000000073e+02,6.592646489926200504e-01
8.246910000000000309e+02,6.564421783159599677e-01
8.256910000000000309e+02,6.562580520775299631e-01
8.266899999999999409e+02,6.529029576594199691e-01
8.276899999999999409e+02,6.520249135265999696e-01
8.286889999999999645e+02,6.505936518845000238e-01
8.296879999999998745e+02,6.484258616979100553e-01
8.306879999999998745e+02,6.458079581020199633e-01
8.316870000000001255e+02,6.434841963777000462e-01
8.326870000000001255e+02,6.390999745547200073e-01
8.336860000000000355e+02,6.368165189647599922e-01
8.346850000000000591e+02,6.353579280944700036e-01
8.356850000000000591e+02,6.337859062838699931e-01
8.366839999999999691e+02,6.316747873656100021e-01
8.376839999999999691e+02,6.295539317545200131e-01
8.386829999999999927e+02,6.274434302053100154e-01
8.396829999999999927e+02,6.239687541764500356e-01
8.406820000000000164e+02,6.211783641968999792e-01
8.416809999999999263e+02,6.195753988975200022e-01
8.426809999999999263e+02,6.168864578551199740e-01
8.436799999999999500e+02,6.143683723604600466e-01
8.446799999999999500e+02,6.117576374962899743e-01
8.456790000000000873e+02,6.077852612772699503e-01
8.466780000000001110e+02,6.043242447924499494e-01
8.476780000000001110e+02,6.037660977578199750e-01
8.486770000000000209e+02,6.014289230980699452e-01
8.496770000000000209e+02,5.982616776544299464e-01
8.506760000000000446e+02,5.955527086715799445e-01
8.516749999999999545e+02,5.919842609062599958e-01
8.526749999999999545e+02,5.872018162160399513e-01
8.536739999999999782e+02,5.853846753160999450e-01
8.546739999999999782e+02,5.831626947494300550e-01
8.556730000000000018e+02,5.787995954528699638e-01
8.566730000000000018e+02,5.761833678087600052e-01
8.576719999999999118e+02,5.749493995325900553e-01
8.586709999999999354e+02,5.716794607612000201e-01
8.596709999999999354e+02,5.676347753852399869e-01
8.606700000000000728e+02,5.650879967332900211e-01
8.616700000000000728e+02,5.616313126509999698e-01
8.626690000000000964e+02,5.585643885283799737e-01
8.636680000000000064e+02,5.553352513110999533e-01
8.646680000000000064e+02,5.515213177425799529e-01
8.656670000000000300e+02,5.478395423382099727e-01
8.666670000000000300e+02,5.446949762801900352e-01
8.676659999999999400e+02,5.422210536527699576e-01
8.686649999999999636e+02,5.382588472829999970e-01
8.696649999999999636e+02,5.353498461129500008e-01
8.706639999999999873e+02,5.320236503708799525e-01
8.716639999999999873e+02,5.286582614987199724e-01
8.726629999999998972e+02,5.250665478757300386e-01
8.736629999999998972e+02,5.216356137382399671e-01
8.746620000000000346e+02,5.182027296663800353e-01
8.756610000000000582e+02,5.146041347421399514e-01
8.766610000000000582e+02,5.110804517120599577e-01
8.776600000000000819e+02,5.061632043365299483e-01
8.786600000000000819e+02,5.032108668002700513e-01
8.796589999999999918e+02,4.993327922658999940e-01
8.806580000000000155e+02,4.959368687658800012e-01
8.816580000000000155e+02,4.927824128692199768e-01
8.826569999999999254e+02,4.892540072195100120e-01
8.836569999999999254e+02,4.851837562036300233e-01
8.846559999999999491e+02,4.816277376124100118e-01
8.856549999999999727e+02,4.783134352212399798e-01
8.866549999999999727e+02,4.748206440522699801e-01
8.876540000000001100e+02,4.708890055848000133e-01
8.886540000000001100e+02,4.671054049725700263e-01
8.896530000000000200e+02,4.627963674875499867e-01
8.906530000000000200e+02,4.592420306699899757e-01
8.916520000000000437e+02,4.558556331301300002e-01
8.926510000000000673e+02,4.521600137587900026e-01
8.936510000000000673e+02,4.483506347981600082e-01
8.946499999999999773e+02,4.443915117959499894e-01
8.956499999999999773e+02,4.405321199848100111e-01
8.966490000000000009e+02,4.369947520429199872e-01
8.976479999999999109e+02,4.323923958076300034e-01
8.986479999999999109e+02,4.287714685988299745e-01
8.996469999999999345e+02,4.249420796989999971e-01
9.006469999999999345e+02,4.213959158724099874e-01
9.016459999999999582e+02,4.173577485543999988e-01
9.026459999999999582e+02,4.136760682546299916e-01
9.036450000000000955e+02,4.101683595367299762e-01
9.046440000000000055e+02,4.060834257726599894e-01
9.056440000000000055e+02,4.025089990131799911e-01
9.066430000000000291e+02,3.985830784852800179e-01
9.076430000000000291e+02,3.941775837776599900e-01
9.086420000000000528e+02,3.897875284369000104e-01
9.096409999999999627e+02,3.861863767188499774e-01
9.106409999999999627e+02,3.823529445733400145e-01
9.116399999999999864e+02,3.779477438199300154e-01
9.126399999999999864e+02,3.734113702163799897e-01
9.136389999999998963e+02,3.689520244045699782e-01
9.146379999999999200e+02,3.632871481854499929e-01
9.156379999999999200e+02,3.575420868116899742e-01
9.166370000000000573e+02,3.508166362847000008e-01
9.176370000000000573e+02,3.426051996867099936e-01
9.186360000000000809e+02,3.325387932700000215e-01
9.196360000000000809e+02,3.184402371585399738e-01
9.206349999999999909e+02,3.006215619000000006e-01
9.216340000000000146e+02,2.781051953247100084e-01
9.226340000000000146e+02,2.488560078864300029e-01
9.236330000000000382e+02,2.140213230454499904e-01
9.246330000000000382e+02,1.758104098181799968e-01
9.256319999999999482e+02,1.363696798000000043e-01
9.266309999999999718e+02,9.895305109090900275e-02
9.276309999999999718e+02,6.665591999999999351e-02
9.286299999999998818e+02,4.117649052272699672e-02
9.296299999999998818e+02,2.341489501409100074e-02
9.306290000000001328e+02,1.259014456636400013e-02
9.316280000000000427e+02,6.455361920454499684e-03
9.326280000000000427e+02,3.428037472500000162e-03
9.336270000000000664e+02,2.226009088706999792e-03
9.346270000000000664e+02,1.952364668121799908e-03
9.356259999999999764e+02,2.084832131962300033e-03
9.366259999999999764e+02,2.077909756999599903e-03
9.376250000000000000e+02,1.682431808795799939e-03
9.386240000000000236e+02,1.796606203991699905e-03
9.396240000000000236e+02,1.804852804828199981e-03
9.406229999999999336e+02,1.733376140429799964e-03
9.416229999999999336e+02,1.753561726328099930e-03
9.426219999999999573e+02,1.618671950939599979e-03
9.436209999999998672e+02,1.548674393648099895e-03
9.446209999999998672e+02,1.773111913038199908e-03
9.456200000000001182e+02,1.653122025012300099e-03
9.466200000000001182e+02,1.717920767483600061e-03
9.476190000000000282e+02,1.745371031706700101e-03
9.486180000000000518e+02,2.027215986792499890e-03
9.496180000000000518e+02,2.078424639890599866e-03
9.506169999999999618e+02,2.068038752265900088e-03
9.516169999999999618e+02,2.088210779343499957e-03
9.526159999999999854e+02,1.937173417924299918e-03
9.536159999999999854e+02,2.235954417733099914e-03
9.546150000000000091e+02,1.894498363125400077e-03
9.556139999999999191e+02,1.724830936192999972e-03
9.566139999999999191e+02,1.557032316935099987e-03
9.576129999999999427e+02,1.302683737999600026e-03
9.586129999999999427e+02,1.289551416193600092e-03
9.596120000000000800e+02,9.628275543863499533e-04
9.606110000000001037e+02,8.088432407244999659e-04
9.616110000000001037e+02,7.432666749740700395e-04
9.626100000000000136e+02,6.266180994912099855e-04
9.636100000000000136e+02,5.729034930595299857e-04
9.646090000000000373e+02,7.101904047577200455e-04
9.656079999999999472e+02,7.707318360953799730e-04
9.666079999999999472e+02,6.801134438220100527e-04
9.676069999999999709e+02,6.535985987790500235e-04
9.686069999999999709e+02,7.841942231155599836e-04
9.696059999999999945e+02,7.481979450244000216e-04
9.706059999999999945e+02,7.993225704963800513e-04
9.716049999999999045e+02,8.525322842011899549e-04
9.726040000000000418e+02,8.672977555600599932e-04
9.736040000000000418e+02,7.857130361810600507e-04
9.746030000000000655e+02,8.775642699561399642e-04
9.756030000000000655e+02,7.832722417982699963e-04
9.766020000000000891e+02,7.194299473304500330e-04
9.776009999999999991e+02,7.351179128783500360e-04
9.786009999999999991e+02,6.902650526358100093e-04
9.796000000000000227e+02,6.179342752308299852e-04
9.806000000000000227e+02,5.233057462591599951e-04
9.815989999999999327e+02,4.866337237607000141e-04
9.825979999999999563e+02,5.153351035181599846e-04
9.835979999999999563e+02,5.196795904906999523e-04
9.845969999999999800e+02,4.411705228628899807e-04
9.855969999999999800e+02,4.150557237755599961e-04
9.865959999999998900e+02,4.038814425116899745e-04
